year,state,candidate,party_simplified,candidatevotes,totalvotes,vote_pct,margin
2000,SOUTH DAKOTA,"BUSH, GEORGE W.",REPUBLICAN,190700,316269,60.29677268401266,
2000,SOUTH DAKOTA,"GORE, AL",DEMOCRAT,118804,316269,37.56422539041132,22.732547293601336
2000,TENNESSEE,"BUSH, GEORGE W.",REPUBLICAN,1061949,2076181,51.14915318076796,
2000,TENNESSEE,"GORE, AL",DEMOCRAT,981720,2076181,47.28489471775341,3.864258463014551
2000,TEXAS,"BUSH, GEORGE W.",REPUBLICAN,3799639,6407637,59.298599468103454,
2000,TEXAS,"GORE, AL",DEMOCRAT,2433746,6407637,37.981958091571045,21.31664137653241
2000,UTAH,"BUSH, GEORGE W.",REPUBLICAN,515096,770754,66.83014295092858,
2000,UTAH,"GORE, AL",DEMOCRAT,203053,770754,26.34472218113692,40.48542076979166
2000,VERMONT,"BUSH, GEORGE W.",REPUBLICAN,119775,294308,40.69716079753184,
2000,VERMONT,"GORE, AL",DEMOCRAT,149022,294308,50.63470921619528,9.937548418663448
2000,VIRGINIA,"BUSH, GEORGE W.",REPUBLICAN,1437490,2739447,52.47372918694905,
2000,VIRGINIA,"GORE, AL",DEMOCRAT,1217290,2739447,44.43561054475593,8.038118642193119
2000,WASHINGTON,"BUSH, GEORGE W.",REPUBLICAN,1108864,2487433,44.5786479475025,
2000,WASHINGTON,"GORE, AL",DEMOCRAT,1247652,2487433,50.158215316754266,5.579567369251762
2000,WEST VIRGINIA,"BUSH, GEORGE W.",REPUBLICAN,336475,648124,51.91521992705099,
2000,WEST VIRGINIA,"GORE, AL",DEMOCRAT,295497,648124,45.59266436669526,6.322555560355731
2000,WISCONSIN,"BUSH, GEORGE W.",REPUBLICAN,1237279,2598607,47.613163514144304,
2000,WISCONSIN,"GORE, AL",DEMOCRAT,1242987,2598607,47.83281966068744,0.2196561465431301
2000,WYOMING,"BUSH, GEORGE W.",REPUBLICAN,147947,213726,69.22274313841086,
2000,WYOMING,"GORE, AL",DEMOCRAT,60481,213726,28.298382040556604,40.92436109785426
