year,state,candidate,party_simplified,candidatevotes,totalvotes,vote_pct,margin
2004,ALABAMA,"BUSH, GEORGE W.",REPUBLICAN,1176394,1883415,62.46068975770077,
2004,ALABAMA,"KERRY, JOHN",DEMOCRAT,693933,1883415,36.84440232237717,25.6162874353236
2004,ALASKA,"BUSH, GEORGE W.",REPUBLICAN,190889,312598,61.06532991253943,
2004,ALASKA,"KERRY, JOHN",DEMOCRAT,111025,312598,35.51686191210436,25.548468000435065
2004,ARIZONA,"BUSH, GEORGE W.",REPUBLICAN,1104294,2012585,54.86943408601376,
2004,ARIZONA,"KERRY, JOHN",DEMOCRAT,893524,2012585,44.396832928795554,10.4726011572182
2004,ARKANSAS,"BUSH, GEORGE W.",REPUBLICAN,572898,1054945,54.30595907843537,
2004,ARKANSAS,"KERRY, JOHN",DEMOCRAT,469953,1054945,44.547630445189085,9.758328633246286
2004,CALIFORNIA,"BUSH, GEORGE W.",REPUBLICAN,5509826,12421353,44.357695977241775,
2004,CALIFORNIA,"KERRY, JOHN",DEMOCRAT,6745485,12421353,54.30555753467437,9.947861557432589
2004,COLORADO,"BUSH, GEORGE W.",REPUBLICAN,1101255,2129630,51.7110953545921,
2004,COLORADO,"KERRY, JOHN",DEMOCRAT,1001732,2129630,47.0378422542883,4.673253100303803
2004,CONNECTICUT,"BUSH, GEORGE W.",REPUBLICAN,693826,1578769,43.94727791082799,
2004,CONNECTICUT,"KERRY, JOHN",DEMOCRAT,857488,1578769,54.3137089719902,10.36643106116221
2004,DELAWARE,"BUSH, GEORGE W.",REPUBLICAN,171660,375190,45.75281857192356,
2004,DELAWARE,"KERRY, JOHN",DEMOCRAT,200152,375190,53.34683760228152,7.594019030357956
2004,DISTRICT OF COLUMBIA,"BUSH, GEORGE W.",REPUBLICAN,21256,227586,9.339766066454,
2004,DISTRICT OF COLUMBIA,"KERRY, JOHN",DEMOCRAT,202970,227586,89.18386895503238,79.84410288857838
2004,FLORIDA,"BUSH, GEORGE W.",REPUBLICAN,3964522,7609810,52.09751623233695,
2004,FLORIDA,"KERRY, JOHN",DEMOCRAT,3583544,7609810,47.09111002771423,5.006406204622721
2004,GEORGIA,"BUSH, GEORGE W.",REPUBLICAN,1914254,3301875,57.974756766988456,
2004,GEORGIA,"KERRY, JOHN",DEMOCRAT,1366149,3301875,41.37494605337877,16.599810713609692
2004,HAWAII,"BUSH, GEORGE W.",REPUBLICAN,194191,429013,45.26459571155186,
2004,HAWAII,"KERRY, JOHN",DEMOCRAT,231708,429013,54.00955215809311,8.744956446541245
2004,IDAHO,"BUSH, GEORGE W.",REPUBLICAN,409235,598376,68.39094482399027,
2004,IDAHO,"KERRY, JOHN",DEMOCRAT,181098,598376,30.26491704212736,38.12602778186291
2004,ILLINOIS,"BUSH, GEORGE W.",REPUBLICAN,2345946,5274322,44.47862682634849,
2004,ILLINOIS,"KERRY, JOHN",DEMOCRAT,2891550,5274322,54.82316020902781,10.344533382679325
2004,INDIANA,"BUSH, GEORGE W.",REPUBLICAN,1479438,2468002,59.94476503665717,
2004,INDIANA,"KERRY, JOHN",DEMOCRAT,969011,2468002,39.26297466533658,20.681790371320595
2004,IOWA,"BUSH, GEORGE W.",REPUBLICAN,751957,1506908,49.90065750530225,
2004,IOWA,"KERRY, JOHN",DEMOCRAT,741898,1506908,49.23313168421695,0.6675258210852988
2004,KANSAS,"BUSH, GEORGE W.",REPUBLICAN,736456,1187756,62.003980615547306,
2004,KANSAS,"KERRY, JOHN",DEMOCRAT,434993,1187756,36.62309430556444,25.380886309982863
2004,KENTUCKY,"BUSH, GEORGE W.",REPUBLICAN,1069439,1795882,59.54951383220055,
2004,KENTUCKY,"KERRY, JOHN",DEMOCRAT,712733,1795882,39.68707298140969,19.86244085079086
2004,LOUISIANA,"BUSH, GEORGE W.",REPUBLICAN,1102169,1943106,56.72202134108999,
2004,LOUISIANA,"KERRY, JOHN",DEMOCRAT,820299,1943106,42.21586470321228,14.506156637877709
2004,MAINE,"BUSH, GEORGE W.",REPUBLICAN,330201,740752,44.57645743784695,
2004,MAINE,"KERRY, JOHN",DEMOCRAT,396842,740752,53.57285569259347,8.996398254746524
2004,MARYLAND,"BUSH, GEORGE W.",REPUBLICAN,1024703,2384238,42.97821777859425,
